control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
6,Hindi,Hindi,0,0,0,0
7,Hindi,Hindi,0,0,0,0
8,Hindi,Hindi,0,0,0,0
9,Oo,Oo,1,1,0,0
11,Oo,Oo,1,1,0,0
13,Hindi,Hindi,0,0,0,0
14,Oo,Oo,1,1,0,0
15,Oo,Oo,1,1,0,0
16,Hindi,Hindi,0,0,0,0
17,Hindi,Oo,0,1,1,1
18,Oo,Oo,1,1,0,0
19,Oo,Oo,1,1,0,0
21,Oo,Oo,1,1,0,0
22,Oo,Oo,1,1,0,0
23,Oo,Oo,1,1,0,0
24,Oo,Oo,1,1,0,0
25,Oo,Oo,1,1,0,0
26,Oo,Oo,1,1,0,0
27,Oo,Oo,1,1,0,0
28,Oo,Oo,1,1,0,0
30,Oo,Oo,1,1,0,0
31,Oo,Oo,1,1,0,0
32,Oo,Oo,1,1,0,0
33,Oo,Oo,1,1,0,0
35,Hindi,Hindi,0,0,0,0
38,Oo,Oo,1,1,0,0
39,Oo,Oo,1,1,0,0
41,Hindi,Oo,0,1,1,1
44,Hindi,Hindi,0,0,0,0
49,Hindi,Hindi,0,0,0,0
50,Hindi,Hindi,0,0,0,0
51,Hindi,Oo,0,1,1,1
52,Oo,Oo,1,1,0,0
53,Oo,Oo,1,1,0,0
54,Oo,Oo,1,1,0,0
55,Oo,Oo,1,1,0,0
56,Oo,Oo,1,1,0,0
57,Oo,Hindi,1,0,1,0
58,Oo,Oo,1,1,0,0
59,Oo,Oo,1,1,0,0
60,Oo,Oo,1,1,0,0
61,Oo,Oo,1,1,0,0
62,Oo,Oo,1,1,0,0
63,Hindi,Oo,0,1,1,1
64,Hindi,Oo,0,1,1,1
74,Oo,Oo,1,1,0,0
75,Oo,Oo,1,1,0,0
76,Oo,Oo,1,1,0,0
77,Oo,Oo,1,1,0,0
81,Oo,Oo,1,1,0,0
82,Oo,Oo,1,1,0,0
85,Hindi,Hindi,0,0,0,0
86,Hindi,Oo,0,1,1,1
87,Hindi,Oo,0,1,1,1
88,Hindi,Oo,0,1,1,1
90,Hindi,Hindi,0,0,0,0
91,Hindi,Hindi,0,0,0,0
92,Hindi,Oo,0,1,1,1
93,Hindi,Oo,0,1,1,1
94,Hindi,Oo,0,1,1,1
95,Hindi,Oo,0,1,1,1
96,Hindi,Oo,0,1,1,1
97,Hindi,Hindi,0,0,0,0
98,Oo,Oo,1,1,0,0
101,Oo,Oo,1,1,0,0
102,Oo,Oo,1,1,0,0
103,Hindi,Hindi,0,0,0,0
104,Hindi,Hindi,0,0,0,0
106,Hindi,Oo,0,1,1,1
107,Oo,Oo,1,1,0,0
108,Oo,Oo,1,1,0,0
110,Oo,Oo,1,1,0,0
112,Hindi,Oo,0,1,1,1
115,Oo,Hindi,1,0,1,0
116,Hindi,Hindi,0,0,0,0
117,Hindi,Oo,0,1,1,1
118,Hindi,Oo,0,1,1,1
119,Hindi,Oo,0,1,1,1
120,Hindi,Oo,0,1,1,1
121,Hindi,Oo,0,1,1,1
122,Hindi,Oo,0,1,1,1
123,Hindi,Oo,0,1,1,1
124,Hindi,Oo,0,1,1,1
125,Hindi,Oo,0,1,1,1
126,Hindi,Oo,0,1,1,1
127,Hindi,Oo,0,1,1,1
128,Hindi,Oo,0,1,1,1
130,Hindi,Hindi,0,0,0,0
131,Hindi,Hindi,0,0,0,0
132,Hindi,Hindi,0,0,0,0
141,Hindi,Hindi,0,0,0,0
143,Hindi,Oo,0,1,1,1
145,Hindi,Oo,0,1,1,1
149,Oo,Oo,1,1,0,0
150,Oo,Oo,1,1,0,0
151,Oo,Oo,1,1,0,0
152,Oo,Oo,1,1,0,0
153,Oo,Oo,1,1,0,0
154,Oo,Oo,1,1,0,0
155,Oo,Oo,1,1,0,0
156,Oo,Oo,1,1,0,0
157,Oo,Oo,1,1,0,0
158,Oo,Oo,1,1,0,0
159,Oo,Oo,1,1,0,0
160,Oo,Oo,1,1,0,0
162,Hindi,Hindi,0,0,0,0
163,Oo,Oo,1,1,0,0
164,Oo,Oo,1,1,0,0
165,Oo,Oo,1,1,0,0
166,Oo,Oo,1,1,0,0
169,Oo,Oo,1,1,0,0
171,Oo,Oo,1,1,0,0
177,Oo,Hindi,1,0,1,0
178,Oo,Oo,1,1,0,0
180,Oo,Oo,1,1,0,0
181,Oo,Oo,1,1,0,0
182,Oo,Oo,1,1,0,0
183,Oo,Oo,1,1,0,0
184,Oo,Oo,1,1,0,0
185,Oo,Oo,1,1,0,0
186,Oo,Oo,1,1,0,0
187,Hindi,Oo,0,1,1,1
188,Hindi,Oo,0,1,1,1
189,Hindi,Oo,0,1,1,1
190,Hindi,Oo,0,1,1,1
191,Hindi,Oo,0,1,1,1
192,Hindi,Oo,0,1,1,1
194,Oo,Oo,1,1,0,0
195,Hindi,Hindi,0,0,0,0
196,Oo,Oo,1,1,0,0
197,Oo,Oo,1,1,0,0
204,Oo,Oo,1,1,0,0
205,Hindi,Hindi,0,0,0,0
206,Hindi,Hindi,0,0,0,0
207,Hindi,Hindi,0,0,0,0
208,Oo,Oo,1,1,0,0
212,Oo,Oo,1,1,0,0
213,Oo,Oo,1,1,0,0
214,Hindi,Oo,0,1,1,1
217,Oo,Oo,1,1,0,0
219,Oo,Oo,1,1,0,0
220,Oo,Oo,1,1,0,0
221,Oo,Oo,1,1,0,0
222,Oo,Oo,1,1,0,0
223,Oo,Oo,1,1,0,0
224,Oo,Oo,1,1,0,0
